,a1,a2,b1,b2,c1,c2,d1,d2,e1,e2,a1_similar_time,a1_sensor1,a1_sensor2,a1_sensor3,a1_sensor4,a1_x,a1_y,a1_f,a2_similar_time,a2_sensor1,a2_sensor2,a2_sensor3,a2_sensor4,a2_x,a2_y,a2_f,b1_similar_time,b1_sensor1,b1_sensor2,b1_sensor3,b1_sensor4,b1_x,b1_y,b1_f,b2_similar_time,b2_sensor1,b2_sensor2,b2_sensor3,b2_sensor4,b2_x,b2_y,b2_f,c1_similar_time,c1_sensor1,c1_sensor2,c1_sensor3,c1_sensor4,c1_x,c1_y,c1_f,c2_similar_time,c2_sensor1,c2_sensor2,c2_sensor3,c2_sensor4,c2_x,c2_y,c2_f,d1_similar_time,d1_sensor1,d1_sensor2,d1_sensor3,d1_sensor4,d1_x,d1_y,d1_f,d2_similar_time,d2_sensor1,d2_sensor2,d2_sensor3,d2_sensor4,d2_x,d2_y,d2_f,e1_similar_time,e1_sensor1,e1_sensor2,e1_sensor3,e1_sensor4,e1_x,e1_y,e1_f,e2_similar_time,e2_sensor1,e2_sensor2,e2_sensor3,e2_sensor4,e2_x,e2_y,e2_f
10,61753.508,61754.5246274879,61754.5412794899,61755.541191551805,61755.557850748504,61756.0744921144,61756.0911648618,61757.6910574564,61757.7078232324,61758.0410395851,61753.508925,7.88191,8.077580000000001,18.1689,19.9556,0.9163620000000001,6.147390000000001,54.083999999999996,61754.524925,8.000580000000001,8.098180000000001,18.1894,19.8537,0.813574,6.079680000000001,54.1419,61754.534925,7.94125,8.098180000000001,18.1381,19.8639,0.870964,6.09605,54.0415,61755.544925,7.970910000000001,8.1703,18.0869,19.8537,0.9089290000000001,6.04622,54.0818,61755.556925,7.9808,8.201210000000001,18.0253,19.7722,0.911114,6.0065800000000005,53.9795,61756.071925,7.94125,8.25273,17.9331,19.976,1.08795,6.02048,54.103,61756.094925,7.931360000000001,8.24242,17.9946,19.9454,1.0449899999999999,6.03346,54.1138,61757.681925,7.8918,8.26303,18.0561,20.0168,1.0750600000000001,6.06278,54.2277,61757.701925,7.82257,8.28364,18.0458,20.0066,1.1179299999999999,6.07832,54.1586,61758.045925,8.000580000000001,8.18061,18.0151,19.9454,0.974476,6.033980000000001,54.1417
11,61758.057,61759.0736505868,61759.0903262706,61760.0902580119,61760.1068941096,61760.6235753173,61760.6401841358,61761.6401355065,61761.656893582796,61761.97345659,61758.051925,7.911580000000001,8.1703,18.0356,19.9047,0.984699,6.06928,54.0221,61759.067924999996,7.970910000000001,8.29394,17.9125,20.0779,1.14662,6.0065,54.2553,61759.083925,7.94125,8.29394,17.9843,20.0168,1.09943,6.01975,54.2363,61760.080925,7.911580000000001,8.28364,17.9023,20.0677,1.17119,6.03011,54.1652,61760.104925,7.911580000000001,8.28364,17.9536,20.0168,1.124,6.0301599999999995,54.1656,61760.622925,7.9610199999999995,8.26303,17.9946,19.8537,0.999194,5.99869,54.0723,61760.643925,7.9610199999999995,8.29394,17.9843,19.8333,1.0088,5.98159,54.0726,61761.643925,7.901689999999999,8.39697,17.892,20.0474,1.22175,5.98493,54.2381,61761.653925,7.901689999999999,8.30424,17.892,20.0168,1.16757,6.0158,54.1148,61761.971925,7.88191,8.38667,17.8408,19.9353,1.20236,5.96936,54.0446
12,61761.99,61763.2066497451,61763.2232603623,61764.6231774805,61764.639828216896,61765.0564878624,61765.073135101295,61766.073080393195,61766.0899260024,61766.406376529296,61762.081925,7.9610199999999995,8.34545,17.851,19.8945,1.12295,5.94956,54.052,61763.210925,7.95113,8.35576,17.8408,19.9047,1.14173,5.94939,54.0523,61763.220925,7.9808,8.33515,17.8613,19.9353,1.12189,5.95443,54.1125,61764.628925,7.99069,8.30424,17.9023,19.9251,1.07918,5.96771,54.1223,61764.630925,7.911580000000001,8.23212,17.9125,19.8639,1.0533700000000001,6.018,53.9202,61765.058925,7.9610199999999995,8.28364,17.8408,19.8231,1.06893,5.95988,53.9086,61765.073925,7.9610199999999995,8.28364,17.8408,19.8231,1.06893,5.95988,53.9086,61766.073925,7.95113,8.38667,17.8613,19.976,1.17686,5.952780000000001,54.1751,61766.083925,7.901689999999999,8.33515,17.892,19.9149,1.13625,5.98684,54.0437,61766.404925,7.901689999999999,8.27333,17.851,19.9149,1.12878,6.00403,53.9409
13,61766.423,61767.739589831304,61767.7562386412,61768.956168225304,61768.9728167079,61769.5894596574,61769.606121485005,61770.606059660306,61770.6228220166,61770.972696705605,61766.427924999996,7.911580000000001,8.28364,17.851,19.9353,1.1375600000000001,5.999569999999999,53.9815,61767.741925,7.88191,8.38667,17.8613,19.9454,1.1969100000000001,5.97449,54.0753,61767.844925,7.8918,8.31455,17.851,19.9556,1.1697899999999999,5.99864,54.013000000000005,61768.949925,7.931360000000001,8.27333,17.8613,19.9353,1.11847,5.9976,54.0012,61768.977925,7.921469999999999,8.30424,17.8203,19.9251,1.1522700000000001,5.98088,53.971000000000004,61769.590925,7.931360000000001,8.28364,17.9433,19.9862,1.10592,6.01572,54.1445,61769.615925,7.911580000000001,8.29394,17.9433,19.9862,1.12001,6.0193900000000005,54.135,61770.603925,7.852239999999999,8.29394,17.9228,19.9556,1.1451,6.03399,54.0246,61770.625925,7.852239999999999,8.29394,17.9125,20.0168,1.17703,6.04243,54.0755,61770.964925,7.95113,8.18061,17.9433,19.8945,1.01013,6.0328599999999994,53.9695
14,61770.989,61772.0056219921,61772.0222800229,61773.0222110035,61773.0388754684,61773.6555101851,61773.6721690264,61774.888734402804,61774.9055390822,61775.2554085031,61770.993925,7.94125,8.22182,17.9331,19.8843,1.03362,6.01726,53.9804,61772.011925,7.921469999999999,8.34545,17.81,19.9556,1.18892,5.9682699999999995,54.0326,61772.104925,7.911580000000001,8.34545,17.7895,19.9658,1.20815,5.9703800000000005,54.0124,61773.014924999996,7.8621300000000005,8.39697,17.8203,19.976,1.24437,5.97642,54.0554,61773.037925,7.901689999999999,8.31455,17.7895,20.0066,1.21729,5.993040000000001,54.0123,61773.658924999996,7.81268,8.31455,17.9023,19.9862,1.1967700000000001,6.04304,54.0157,61773.673925,7.81268,8.25273,17.9125,19.9964,1.16903,6.070530000000001,53.9744,61774.892925,7.87202,8.23212,17.892,19.9047,1.10051,6.0368,53.9009,61774.896925,7.88191,8.21152,17.9433,19.9251,1.07083,6.05288,53.9618,61775.246925,7.901689999999999,8.26303,17.8305,19.9149,1.13415,6.004630000000001,53.9101
15,61775.273,61776.3896682242,61776.4063146307,61777.4062611883,61777.4229035923,61778.039564067,61778.0562113339,61778.456188350305,61778.4729367008,61778.989470627,61775.267925,7.911580000000001,8.25273,17.8203,19.9047,1.12526,6.00137,53.8892,61776.391924999996,7.84235,8.16,17.9741,20.0677,1.11544,6.11707,54.0442,61776.407925,7.82257,8.18061,17.9843,20.0168,1.10663,6.11005,54.0043,61777.406925,7.81268,8.27333,17.9125,20.027,1.1916,6.06755,54.0255,61777.430925,7.83246,8.27333,17.9023,19.9964,1.17351,6.0530800000000005,54.0045,61778.029925,7.94125,8.24242,17.81,19.976,1.14286,6.00402,53.9697,61778.155925,7.87202,8.33515,17.8715,19.9454,1.17403,6.00004,54.0241,61778.452925,7.911580000000001,8.22182,17.8613,20.0066,1.1368,6.03721,54.0013,61778.468925,7.911580000000001,8.22182,17.8613,20.0066,1.1368,6.03721,54.0013,61778.984925,7.802789999999999,8.19091,17.9638,20.1187,1.17566,6.12714,54.0762
16,61779.006,61780.0226270826,61780.039276958705,61781.0392168547,61781.0558629058,61781.4725124701,61781.4891718164,61781.8891596747,61781.9059029845,61782.6057618285,61779.011925,7.76323,8.19091,18.0048,20.027,1.13448,6.13428,53.9859,61780.021925,7.87202,8.30424,17.9638,19.9964,1.13824,6.03584,54.1365,61780.047925,7.83246,8.23212,17.892,19.9862,1.15578,6.06577,53.9428,61781.046925,7.84235,8.30424,17.727999999999998,20.0066,1.27155,6.00989,53.8812,61781.046925,7.84235,8.30424,17.727999999999998,20.0066,1.27155,6.00989,53.8812,61781.462925,7.802789999999999,8.24242,17.8613,19.9964,1.19416,6.06993,53.9029,61781.479925,7.84235,8.24242,17.9433,19.976,1.12621,6.064690000000001,54.0041,61781.888925,7.852239999999999,8.19091,18.0048,19.9658,1.06439,6.08942,54.0138,61781.898925,7.77312,8.18061,17.9638,20.0066,1.13598,6.12435,53.9241,61782.699925,7.783010000000001,8.31455,17.851,20.0677,1.27195,6.05961,54.0163
17,61782.622,61784.1385913712,61784.155235723505,61784.755149568504,61784.771838348,61785.2885380192,61785.305140531505,61786.3050854183,61786.3218467366,61786.6717365474,61782.620925,7.8621300000000005,8.26303,17.9331,20.0576,1.16667,6.06074,54.1158,61784.142925,7.8621300000000005,8.40727,17.6972,19.9149,1.28188,5.94156,53.8815,61784.151925,7.8621300000000005,8.34545,17.7075,19.9454,1.26312,5.9724699999999995,53.8605,61784.757925,7.8621300000000005,8.30424,17.8715,20.0066,1.19216,6.02608,54.0445,61784.762925,7.88191,8.29394,17.9023,19.9556,1.14066,6.01903,54.0338,61785.279925,7.88191,8.22182,17.8613,19.976,1.1376600000000001,6.0437,53.941,61785.299925,7.83246,8.33515,17.8203,19.8741,1.18661,5.99498,53.861999999999995,61786.306925,7.921469999999999,8.26303,17.7485,19.9251,1.16888,5.98492,53.858000000000004,61786.411925,7.911580000000001,8.32485,17.8408,19.9556,1.16972,5.98525,54.0328,61786.661925,7.931360000000001,8.19091,17.8305,19.8741,1.0697,6.01438,53.8269
18,61786.688,61787.8046250408,61787.8212842873,61788.8211694255,61788.837853342004,61789.2545359587,61789.2711828203,61789.8711439512,61789.8878823981,61790.5211054935,61786.678925,7.921469999999999,8.26303,17.8408,19.9658,1.14214,6.00713,53.9911,61787.813925,7.83246,8.24242,18.0048,19.9658,1.09674,6.077030000000001,54.0455,61787.813925,7.83246,8.24242,18.0048,19.9658,1.09674,6.077030000000001,54.0455,61788.823925,7.7929,8.24242,17.7485,19.9658,1.24041,6.04999,53.7496,61788.828925,7.84235,8.28364,17.8203,19.9658,1.19957,6.02651,53.9121,61789.333925,7.8918,8.29394,17.851,19.9454,1.1562,6.00496,53.9822,61789.266924999996,7.852239999999999,8.21152,17.7793,19.9658,1.18282,6.04398,53.8088,61789.868925,7.911580000000001,8.366060000000001,17.769000000000002,19.8945,1.19573,5.947,53.9411,61789.882925,7.88191,8.29394,17.7177,19.9251,1.21675,5.983140000000001,53.8186,61790.512925,7.83246,8.25273,17.7895,19.8945,1.17411,6.0254199999999996,53.7692
19,61802.155,61803.67157637719,61803.6882353182,61804.688171062,61804.7048406174,61805.3214742961,61805.3381170274,61806.3380388152,61806.3548090488,61806.8546915279,61802.147925,14.043,12.8273,14.2371,13.2416,-1.01716,0.167917,54.349,61803.661925,11.2245,11.4879,15.700999999999999,16.1157,0.310829,2.5044299999999997,54.5291,61803.686925,11.1652,11.5497,15.5979,16.2204,0.46162,2.504,54.5332,61804.679925,10.6114,10.8079,15.5773,17.0612,0.777087,3.11311,54.0578,61804.696925,10.7696,10.777000000000001,15.5567,17.1019,0.716054,3.07498,54.2052,61805.313925,10.5323,10.6121,15.5464,17.3771,0.8834,3.2678599999999998,54.0679,61805.329925,10.4631,10.6533,15.4845,17.3261,0.9419559999999999,3.2528,53.9271,61806.345925,10.6608,10.9006,15.1753,17.2548,1.07392,3.01953,53.9915,61806.345925,10.6608,10.9006,15.1753,17.2548,1.07392,3.01953,53.9915,61806.863925,10.7301,10.9418,15.1237,17.1835,1.0520200000000002,2.95539,53.9791
20,61806.871,61808.0876908525,61808.1043170965,61809.104259957,61809.1209082121,61809.5376016426,61809.5542373849,61810.5541113539,61810.5709014445,61810.9374866186,61806.863925,10.7301,10.9418,15.1237,17.1835,1.0520200000000002,2.95539,53.9791,61808.095925,10.74,10.9006,14.9485,17.1631,1.1047200000000001,2.9220099999999998,53.7521,61808.095925,10.74,10.9006,14.9485,17.1631,1.1047200000000001,2.9220099999999998,53.7521,61809.096925,10.6411,10.8903,14.8557,17.3873,1.29283,2.98793,53.7743,61809.114925,10.5718,10.9212,14.866,17.3975,1.33978,3.00533,53.7565,61809.630925,10.8389,11.0036,14.8351,17.2242,1.18454,2.84317,53.9018,61809.553925,10.7993,10.9418,14.9175,17.2548,1.1498899999999999,2.9022099999999997,53.9134,61810.546925,11.0169,11.3024,14.5979,17.0204,1.25515,2.58605,53.9376,61810.579925,11.0366,11.3127,14.5979,17.051,1.2635100000000001,2.58328,53.9983,61810.934925,10.9674,11.1788,14.732000000000001,16.9884,1.1453200000000001,2.66607,53.8665
21,61810.954,61811.9706204709,61811.9872766033,61812.7871863647,61812.803857313396,61813.2205249361,61813.237167845,61814.2371218248,61814.253866350395,61814.5870873385,61810.963925,10.9081,11.1994,14.7835,17.0,1.16337,2.69322,53.891000000000005,61811.970925,10.8982,11.2818,14.6804,17.0408,1.2726899999999999,2.65518,53.9012,61811.984925,10.9575,11.2715,14.6082,17.1121,1.30578,2.63895,53.9494,61812.787925,10.9575,11.2921,14.6701,17.0102,1.2398799999999999,2.62303,53.9299,61812.793925,10.9575,11.2921,14.6701,17.0102,1.2398799999999999,2.62303,53.9299,61813.218925,10.8784,11.117,14.8557,17.0917,1.14686,2.7673799999999997,53.9428,61813.242925,10.8389,11.1685,14.8247,17.1121,1.21282,2.76105,53.9442,61814.236925,10.74,11.0861,14.7938,17.2242,1.28914,2.83931,53.8441,61814.350925,10.8191,11.117,14.8041,17.2344,1.2636399999999999,2.80757,53.9746,61814.672925,10.8389,11.1479,14.7423,17.1019,1.23938,2.7467799999999998,53.8309
22,61814.604,61815.7206187844,61815.737275777195,61817.1371913242,61817.1537944194,61817.6704775255,61817.687109976,61818.6870423002,61818.703777277595,61819.053705914,61814.607925,10.8487,11.0964,14.7216,17.1223,1.23086,2.7604599999999997,53.7891,61815.718925,10.829,11.0139,14.9485,17.051,1.0621200000000002,2.82951,53.8423,61815.734925,10.7202,10.9521,14.9381,17.0815,1.1059999999999999,2.8907599999999998,53.692,61817.127925,10.5521,10.7667,15.1237,17.3363,1.1283299999999998,3.10754,53.7788,61817.156925,10.5422,10.7667,15.0412,17.3465,1.17781,3.0948700000000002,53.6966,61817.667925,10.5718,10.9212,14.9381,17.3669,1.291,3.0146,53.7981,61817.683925,10.5718,10.9212,14.9381,17.3669,1.291,3.0146,53.7981,61818.678925,10.5817,10.8388,15.0206,17.3567,1.20504,3.055,53.7979,61818.705925,10.5422,10.777000000000001,15.0619,17.4077,1.1994200000000002,3.1095,53.7887,61819.043925,10.4828,10.8491,14.9897,17.4586,1.31795,3.10051,53.7803
23,61819.07,61820.3865971256,61820.4032037901,61821.0032413625,61821.0198720643,61821.6365210145,61821.6531817043,61822.6531103813,61822.669857516,61823.4030734791,61819.079925,10.4631,10.8079,15.0206,17.479,1.30332,3.13239,53.7706,61820.391924999996,10.2554,10.5606,15.2062,17.7338,1.31746,3.3830699999999996,53.756,61820.398925,10.2554,10.5503,15.2062,17.7644,1.32639,3.39319,53.7763,61820.998925,10.2356,10.6533,15.0825,17.9173,1.50891,3.37106,53.8887,61821.107925,10.196,10.6533,15.2165,17.8867,1.44918,3.4068300000000002,53.9526,61821.645925,10.2356,10.4679,15.3093,17.9784,1.3434700000000002,3.4961900000000004,53.9912,61821.645925,10.2356,10.4679,15.3093,17.9784,1.3434700000000002,3.4961900000000004,53.9912,61822.646925,10.2554,10.5709,15.267999999999999,17.8969,1.3633600000000001,3.4279599999999997,53.9912,61822.670925,10.196,10.5091,15.1959,17.9988,1.44526,3.47577,53.8998,61823.502925,10.1466,10.4679,15.1753,17.9377,1.43487,3.4894,53.7274
